date,price
2025-04-26,607.36
2025-04-27,603.74
2025-04-28,606.42
2025-04-29,600.9
2025-04-30,599.87
2025-05-01,600.06
2025-05-02,601.13
2025-05-03,599.59
2025-05-04,586.56
2025-05-05,597.7
2025-05-06,602.71
2025-05-07,602.89
2025-05-08,629.16
2025-05-09,666.81
2025-05-10,664.0
2025-05-11,650.98
2025-05-12,660.2
2025-05-13,664.39
2025-05-14,652.64
2025-05-15,651.89
2025-05-16,646.56
2025-05-17,639.79
2025-05-18,651.71
2025-05-19,649.97
2025-05-20,650.34
2025-05-21,673.02
2025-05-22,686.76
2025-05-23,657.2
2025-05-24,668.02
2025-05-25,669.73
2025-05-26,674.39
2025-05-27,687.09
2025-05-28,687.14
2025-05-29,674.91
2025-05-30,655.24
2025-05-31,658.38
2025-06-01,661.38
2025-06-02,666.38
2025-06-03,661.79
2025-06-04,663.57
2025-06-05,633.86
2025-06-06,643.48
2025-06-07,651.29
2025-06-08,652.24
2025-06-09,665.76
2025-06-10,673.62
2025-06-11,667.63
2025-06-12,655.18
2025-06-13,655.62
2025-06-14,646.07
2025-06-15,648.43
2025-06-16,651.18
2025-06-17,648.3
2025-06-18,645.1
2025-06-19,644.83
2025-06-20,641.89
2025-06-21,629.54
2025-06-22,616.19
2025-06-23,640.98
2025-06-24,643.91
2025-06-25,646.44
2025-06-26,642.72
2025-06-27,646.11
2025-06-28,648.91
2025-06-29,655.12
2025-06-30,657.06
2025-07-01,646.5
2025-07-02,660.07
2025-07-03,663.75
2025-07-04,653.89
2025-07-05,656.39
2025-07-06,663.38
2025-07-07,661.03
2025-07-08,660.7
2025-07-09,661.92
